,Weekend Box Office Results Jan 2 - Jan 4 2004 - United Kingdom,,,,,,
,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date
1,Lord of the Rings: Return of the King,"6,496,723",Entertainment,-9,3,498,"41,841,702"
2,Peter Pan,"1,646,951",UIP,21,2,442,"4,866,710"
3,Love Actually,"1,123,685",UIP,15,7,404,"31,948,206"
4,Stuck On You,"1,114,837",20th Fox,,1,298,"1,114,837"
5,Cold Mountain,"929,366",BVI,144,2,284,"1,779,132"
6,Freaky Friday,"853,838",BVI,19,3,347,"4,530,548"
7,Elf,"578,001",Entertainment,7,6,399,"15,834,316"
8,Brother Bear,"452,813",BVI,72,5,398,"4,445,123"
9,Out of Time,"343,473",Momentum,10,2,269,"988,096"
10,S.W.A.T.,"159,022",Col/TriStar,-28,5,173,"5,149,101"
11,American Splendor,"135,568",Optimum,,1,38,"135,568"
12,Master and Commander,"117,946",20th Fox,-26,7,88,"6,495,832"
13,Touching the Void,"116,260",Pathe,84,4,35,"619,011"
14,Good Boy!,"103,448",20th Fox,36,3,253,"604,963"
15,Kal Ho Naa Ho,"59,630",Yash Raj,-21,6,24,"1,549,839"
,,,,,,,
,Total,"14,231,561",,,,"  3,950 ","121,902,984"
,,,,,,,
,,,,,,,
22,Thirteen,"  12,197 ",UIP,10,5,12,"  235,036 "
26,Calendar Girls,"  6,152 ",BVI,-25,18,4,"  20,336,222 "
27,In America,"  5,522 ",20th Fox,2,10,9,"  1,886,049 "
29,Intermission,"  4,633 ",BVI,-2,19,5,"  2,082,523 "
31,"Good Bye, Lenin!","  4,212 ",UGC Films,36,24,3,"  1,119,521 "
32,Kiss of Life,"  3,418 ",Artificial Eye,,1,7,"  3,418 "
34,Noi Albinoi,"  3,013 ",Artificial Eye,59,8,4,"  101,339 "
35,The Mother,"  2,698 ",Momentum,75,8,5,"  256,972 "
36,Wilbur wants to kill himself,"  2,371 ",Icon,-17,5,6,"  120,645 "
39,Spirited Away,"  2,177 ",Optimum,0,17,5,"  932,453 "
43,Belleville Rendezvous,"  1,383 ",Tartan,-24,19,3,"  729,775 "
46,The Shape of Things,"  1,009 ",Momentum,86,6,8,"  52,484 "
49,Bodysong,  715 ,Pathe,0,5,3,"  10,344 "
,,,,,,,
,,,,,,,
,Comments,,,,,,
,"The weekend is up 15% on last weekend, and is 18% up on the same week last year",,,,,,
,,,,,,,
,It ranks 4th out of the last 52 weeks,,,,,,
,,,,,,,
,"The figure for Stuck On You includes £70,489 from 224 previews",,,,,,
,,,,,,,
,"The figure for American Splendor includes £13,567 from 23 previews",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Weekend Box Office Results Jan 9 - Jan 11 2004 - United Kingdom,,,,,,
,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date
1,Lord of the Rings: Return of the King,"3,713,999",Entertainment,-43,4,502,"48,099,432"
2,The Last Samurai,"2,723,081",Warner,,1,430,"2,723,081"
3,Peter Pan,"988,482",UIP,-40,3,436,"6,426,945"
4,Love Actually,"819,516",UIP,-27,8,361,"33,459,370"
5,Lost in Translation,"797,071",Momentum,,1,96,"797,071"
6,Cold Mountain,"749,090",BVI,-19,3,281,"3,127,050"
7,Stuck on you,"726,489",20th Fox,-35,2,299,"2,303,329"
8,Freaky Friday,"526,328",BVI,-38,4,349,"5,367,190"
9,Brother Bear,"255,826",BVI,-44,6,370,"4,824,937"
10,Elf,"174,296",Entertainment,-70,7,376,"16,518,290"
11,Out of Time,"144,320",Momentum,-58,3,189,"1,293,993"
12,Touching the Void,"113,456",Pathe,-2,5,38,"819,920"
13,Master and Commander,"98,158",20th Fox,-17,8,88,"6,684,302"
14,American Splendor,"90,696",Optimum,-33,2,39,"306,630"
15,S.W.A.T.,"54,114",Col/TriStar,-66,6,99,"5,274,283"
,,,,,,,
,Total,"11,974,922",,,,"  3,953 ","138,025,823"
,,,,,,,
,,,,,,,
22,Black and White,"  9,688 ",Tartan,,1,10,"  9,688 "
25,Thirteen,"  8,371 ",UIP,-31,6,11,"  255,056 "
27,Calendar Girls,"  6,275 ",BVI,2,19,6,"  20,353,259 "
30,"Good Bye, Lenin!","  5,675 ",UGC Films,35,25,4,"  1,130,014 "
31,In America,"  5,228 ",20th Fox,-5,11,7,"  1,895,289 "
33,Intermission,"  3,545 ",BVI,-24,20,2,"  2,092,665 "
34,Spirited Away,"  3,407 ",Optimum,57,18,5,"  937,813 "
38,The Mother,"  2,882 ",Momentum,7,9,7,"  263,487 "
40,In the Cut,"  2,140 ",Pathe,79,11,5,"  1,043,151 "
41,Noi Albinoi,"  1,713 ",Artificial Eye,-43,9,3,"  106,029 "
42,The Shape of Things,"  1,654 ",Momentum,64,7,1,"  55,012 "
43,Wilbur wants to kill himself,"  1,645 ",Icon,-31,6,4,"  125,236 "
45,Kiss of Life,"  1,470 ",Artificial Eye,-57,2,3,"  8,150 "
51,Belleville Rendezvous,  676 ,Tartan,-51,20,5,"  731,408 "
55,Bodysong,  259 ,Pathe,-64,6,1,"  11,314 "
57,Krampack,  240 ,PPR,,15,2,"  36,282 "
60,American Cousins,  76 ,Bard,280,7,1,"  21,419 "
62,Etre et Avoir,  20 ,Tartan,0,30,1,"  706,152 "
,,,,,,,
,Comments,,,,,,
,"The weekend is down 16% on last weekend, and is 10% up on the same week last year",,,,,,
,,,,,,,
,It ranks 10th out of the last 52 weeks,,,,,,
,,,,,,,
,"The figure for The Last Samurai includes £48,965 from 11 screens on Weds/Thurs",,,,,,
,,,,,,,
,The fall-off rate without previews for Stuck on You is 31%,,,,,,
,,,,,,,
,The fall-off rate without previews for American Splendor is 26%,,,,,,
,,,,,,,
,,,,,,,
,Weekend Box Office Results Jan 16 - Jan 18 2004 - United Kingdom,,,,,,
,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date
1,Lord of the Rings: Return of the King,"2,377,268",Entertainment,-36,5,483,"51,871,207"
2,The Last Samurai,"2,048,193",Warner,-25,2,431,"6,126,251"
3,Lost in Translation,"1,051,380",Momentum,32,2,187,"2,361,109"
4,Paycheck,"927,212",UIP,,1,341,"927,212"
5,Peter Pan,"763,662",UIP,-23,4,436,"7,378,626"
6,Love Actually,"588,501",UIP,-28,9,312,"34,569,126"
7,Runaway Jury,"583,367",20th Fox,,1,291,"583,367"
8,Cold Mountain,"576,768",BVI,-23,4,258,"4,206,869"
9,Stuck on You,"428,289",20th Fox,-41,3,278,"2,962,826"
10,Girl with a Pearl Earring,"384,498",Pathe,,1,106,"384,498"
11,Freaky Friday,"362,971",BVI,-31,5,346,"5,833,394"
12,Brother Bear,"201,112",BVI,-21,7,351,"5,043,220"
13,Touching the Void,"107,316",Pathe,-5,6,42,"1,002,715"
14,Elf,"81,339",Entertainment,-53,8,294,"16,263,471"
15,A Mighty Wind,"62,657",Warner,,1,31,"62,657"
,,,,,,,
,Total,"10,544,533",,,,"  4,187 ","139,576,548"
,,,,,,,
,,,,,,,
31,Calendar Girls,"  5,068 ",BVI,-19,20,5,"  20,366,365 "
32,Thirteen,"  4,943 ",UIP,-41,7,7,"  266,400 "
35,Spirited Away,"  3,188 ",Optimum,-6,19,11,"  943,638 "
36,"Good Bye, Lenin!","  3,003 ",UGC Films,-47,26,2,"  1,136,949 "
37,Black and White,"  2,809 ",Tartan,-71,2,10,"  18,505 "
39,The Mother,"  2,524 ",Momentum,-12,10,8,"  269,227 "
41,In the Cut,"  2,233 ",Pathe,4,12,8,"  1,047,945 "
42,Intermission,"  2,174 ",BVI,-39,21,2,"  2,097,520 "
49,The Shape of Things,"  1,044 ",Momentum,-37,8,4,"  57,530 "
52,Bodysong,  868 ,Pathe,235,7,1,"  12,434 "
54,Noi Albinoi,  469 ,Artificial Eye,-73,10,2,"  107,102 "
57,Belleville Rendezvous,  315 ,Tartan,-53,21,1,"  732,883 "
61,Kiss of Life,  111 ,Artificial Eye,-92,3,1,"  9,257 "
,,,,,,,
,Comments,,,,,,
,"The weekend is down 12% on last weekend, and is down 23% on the same week last year",,,,,,
,,,,,,,
,It ranks 20th out of the last 52 weeks,,,,,,
,,,,,,,
,The fall-off rate without Weds/Thurs for The Last Samurai is 24%,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Weekend Box Office Results Jan 23 - Jan 25 2004 - United Kingdom,,,,,,
,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date
1,Scary Movie 3,"3,490,585",BVI,,1,418,"3,490,585"
2,Lord of the Rings: Return of the King,"1,552,713",Entertainment,-35,6,419,"54,366,487"
3,The Last Samurai,"1,236,008",Warner,-40,3,417,"8,273,288"
4,Lost in Translation,"927,218",Momentum,-12,3,258,"3,860,634"
5,Cold Mountain,"670,208",BVI,16,5,322,"5,385,848"
6,Peter Pan,"564,380",UIP,-26,5,431,"8,047,073"
7,Paycheck,"531,812",UIP,-43,2,332,"1,825,085"
8,Love Actually,"365,110",UIP,-38,10,271,"35,322,703"
9,Girl with a Pearl Earring,"363,362",Pathe,-5,2,107,"1,063,398"
10,Runaway Jury,"346,337",20th Fox,-41,2,287,"1,225,769"
11,Freaky Friday,"275,762",BVI,-24,6,341,"6,152,425"
12,Stuck on You,"181,721",20th Fox,-58,4,234,"3,263,479"
13,Brother Bear,"168,004",BVI,-17,8,334,"5,221,346"
14,Big Fish,"126,899",Col/Tristar,,1,17,"126,899"
15,Khakee,"87,379",Eros,,1,31,"87,379"
,Total,"10,887,498",,,,"  4,219 ","137,712,398"
,,,,,,,
16,Touching the Void,"75,384",Pathe,-30,7,40,"1,165,074"
34,Calendar Girls,"2,438",BVI,-52,21,2,"20,377,313"
35,Thirteen,"2,254",UIP,-54,8,3,"273,233"
36,Game Over: Kasparov asnd the Machine,"2,223",Momentum,,1,1,"2,223"
41,Noi Albinoi,"1,160",Artificial Eye,147,11,3,"108,746"
